KEGG	GO_ID	GO_Description
ppa:PAS_FragD_0018;	P:GO:0006338; P:GO:0045944; F:GO:0003677; F:GO:0005524; F:GO:0008094; F:GO:0016787; F:GO:0042393; F:GO:0140658; C:GO:0005634	"P:chromatin remodeling; P:positive regulation of transcription by RNA polymerase II; F:DNA binding; F:ATP binding; F:ATP-dependent activity, acting on DNA; F:hydrolase activity; F:histone binding; F:ATP-dependent chromatin remodeler activity; C:nucleus"
ppa:PAS_FragD_0019;	P:GO:0006874; P:GO:0098655; P:GO:0098662; P:GO:1902047; F:GO:0005524; F:GO:0015203; F:GO:0015662; F:GO:0016887; F:GO:0019829; F:GO:0022890; F:GO:0046872; F:GO:0140358; C:GO:0016020; C:GO:0031902	P:intracellular calcium ion homeostasis; P:monoatomic cation transmembrane transport; P:inorganic cation transmembrane transport; P:polyamine transmembrane transport; F:ATP binding; F:polyamine transmembrane transporter activity; F:P-type ion transporter activity; F:ATP hydrolysis activity; F:ATPase-coupled monoatomic cation transmembrane transporter activity; F:inorganic cation transmembrane transporter activity; F:metal ion binding; F:P-type transmembrane transporter activity; C:membrane; C:late endosome membrane
ppa:PAS_FragD_0020;		
ppa:PAS_FragD_0021;		
ppa:PAS_FragD_0022;	C:GO:0005634	C:nucleus
ppa:PAS_FragD_0023;		
ppa:PAS_FragD_0024;	P:GO:0006816; P:GO:0006874; P:GO:0055085; P:GO:0070588; P:GO:1902600; F:GO:0015297; F:GO:0015369; C:GO:0000329; C:GO:0005773; C:GO:0005774; C:GO:0009705; C:GO:0016020	P:calcium ion transport; P:intracellular calcium ion homeostasis; P:transmembrane transport; P:calcium ion transmembrane transport; P:proton transmembrane transport; F:antiporter activity; F:calcium:proton antiporter activity; C:fungal-type vacuole membrane; C:vacuole; C:vacuolar membrane; C:plant-type vacuole membrane; C:membrane
ppa:PAS_FragD_0031;		
ppa:PAS_FragD_0025;	F:GO:0016538; F:GO:0019901; C:GO:0000307; C:GO:0005634	F:cyclin-dependent protein serine/threonine kinase regulator activity; F:protein kinase binding; C:cyclin-dependent protein kinase holoenzyme complex; C:nucleus
ppa:PAS_FragD_0026;	P:GO:0030970; P:GO:0051228; P:GO:0051301; P:GO:0097352; F:GO:0005524; F:GO:0016887; F:GO:0031593; C:GO:0005634; C:GO:0005737; C:GO:0005829; C:GO:0034098	"P:retrograde protein transport, ER to cytosol; P:mitotic spindle disassembly; P:cell division; P:autophagosome maturation; F:ATP binding; F:ATP hydrolysis activity; F:polyubiquitin modification-dependent protein binding; C:nucleus; C:cytoplasm; C:cytosol; C:VCP-NPL4-UFD1 AAA ATPase complex"
ppa:PAS_FragD_0027;	P:GO:0009117; F:GO:0003824	P:nucleotide metabolic process; F:catalytic activity
ppa:PAS_FragD_0029;	P:GO:0006357; F:GO:0046872; C:GO:0070776	P:regulation of transcription by RNA polymerase II; F:metal ion binding; C:MOZ/MORF histone acetyltransferase complex
ppa:PAS_chr4_0908;	P:GO:0000001; P:GO:0007005; C:GO:0005743; C:GO:0016020	P:mitochondrion inheritance; P:mitochondrion organization; C:mitochondrial inner membrane; C:membrane
ppa:PAS_chr4_0907;	P:GO:0006629; P:GO:0006796; F:GO:0008081	P:lipid metabolic process; P:phosphate-containing compound metabolic process; F:phosphoric diester hydrolase activity
ppa:PAS_chr4_0906;	P:GO:0006351; P:GO:0006352; P:GO:0006367; P:GO:0045948; P:GO:0060213; F:GO:0003676; F:GO:0003697; F:GO:0003727; F:GO:0031369; C:GO:0000428; C:GO:0000932; C:GO:0005634; C:GO:0005665; C:GO:0055029	"P:DNA-templated transcription; P:DNA-templated transcription initiation; P:transcription initiation at RNA polymerase II promoter; P:positive regulation of translational initiation; P:positive regulation of nuclear-transcribed mRNA poly(A) tail shortening; F:nucleic acid binding; F:single-stranded DNA binding; F:single-stranded RNA binding; F:translation initiation factor binding; C:DNA-directed RNA polymerase complex; C:P-body; C:nucleus; C:RNA polymerase II, core complex; C:nuclear DNA-directed RNA polymerase complex"
ppa:PAS_chr4_0905;	P:GO:0006412; P:GO:0017148; F:GO:0003729; F:GO:0003735; C:GO:0005737; C:GO:0005762; C:GO:0005840; C:GO:0022625; C:GO:0043229; C:GO:1990904	P:translation; P:negative regulation of translation; F:mRNA binding; F:structural constituent of ribosome; C:cytoplasm; C:mitochondrial large ribosomal subunit; C:ribosome; C:cytosolic large ribosomal subunit; C:intracellular organelle; C:ribonucleoprotein complex
ppa:PAS_chr4_0904;		
ppa:PAS_chr4_0903;	P:GO:0006270; P:GO:0007095; P:GO:0033314; C:GO:0005634	P:DNA replication initiation; P:mitotic G2 DNA damage checkpoint signaling; P:mitotic DNA replication checkpoint signaling; C:nucleus
ppa:PAS_chr4_0902;	P:GO:0006368; F:GO:0000993; F:GO:0003682; C:GO:0005634; C:GO:0016593	P:transcription elongation by RNA polymerase II; F:RNA polymerase II complex binding; F:chromatin binding; C:nucleus; C:Cdc73/Paf1 complex
ppa:PAS_chr4_0901;	P:GO:0000460; P:GO:0000470; P:GO:0006364; C:GO:0030687	"P:maturation of 5.8S rRNA; P:maturation of LSU-rRNA; P:rRNA processing; C:preribosome, large subunit precursor"
ppa:PAS_chr4_0900;	P:GO:0000278; P:GO:0000741; P:GO:0000742; P:GO:0000743; P:GO:0007017; P:GO:0007018; P:GO:0007059; P:GO:0007064; P:GO:0051301; P:GO:0051321; P:GO:0060236; P:GO:1903562; P:GO:1990976; F:GO:0003774; F:GO:0003777; F:GO:0005515; F:GO:0005524; F:GO:0008017; F:GO:0008569; F:GO:0016853; F:GO:0016887; C:GO:0000922; C:GO:0005634; C:GO:0005694; C:GO:0005737; C:GO:0005816; C:GO:0005819; C:GO:0005856; C:GO:0005874; C:GO:0005881; C:GO:0015630	P:mitotic cell cycle; P:karyogamy; P:karyogamy involved in conjugation with cellular fusion; P:nuclear migration involved in conjugation with cellular fusion; P:microtubule-based process; P:microtubule-based movement; P:chromosome segregation; P:mitotic sister chromatid cohesion; P:cell division; P:meiotic cell cycle; P:regulation of mitotic spindle organization; P:microtubule bundle formation involved in mitotic spindle midzone assembly; P:protein transport along microtubule to mitotic spindle pole body; F:cytoskeletal motor activity; F:microtubule motor activity; F:protein binding; F:ATP binding; F:microtubule binding; F:minus-end-directed microtubule motor activity; F:isomerase activity; F:ATP hydrolysis activity; C:spindle pole; C:nucleus; C:chromosome; C:cytoplasm; C:spindle pole body; C:spindle; C:cytoskeleton; C:microtubule; C:cytoplasmic microtubule; C:microtubule cytoskeleton
ppa:PAS_chr4_0899;	P:GO:0032889; F:GO:0003924; F:GO:0005525; C:GO:0000329; C:GO:0005770; C:GO:0043229	"P:regulation of vacuole fusion, non-autophagic; F:GTPase activity; F:GTP binding; C:fungal-type vacuole membrane; C:late endosome; C:intracellular organelle"
ppa:PAS_chr4_0898;	F:GO:0016538; F:GO:0019901; C:GO:0000307; C:GO:0005634	F:cyclin-dependent protein serine/threonine kinase regulator activity; F:protein kinase binding; C:cyclin-dependent protein kinase holoenzyme complex; C:nucleus
ppa:PAS_chr4_0897;		
ppa:PAS_chr4_0896;	P:GO:0006812; P:GO:0006882; P:GO:0010312; P:GO:0030003; P:GO:0055085; P:GO:0071577; P:GO:0098771; F:GO:0005385; F:GO:0008324; C:GO:0000329; C:GO:0016020	P:monoatomic cation transport; P:intracellular zinc ion homeostasis; P:detoxification of zinc ion; P:intracellular monoatomic cation homeostasis; P:transmembrane transport; P:zinc ion transmembrane transport; P:inorganic ion homeostasis; F:zinc ion transmembrane transporter activity; F:monoatomic cation transmembrane transporter activity; C:fungal-type vacuole membrane; C:membrane
ppa:PAS_chr4_0895;	C:GO:0005762	C:mitochondrial large ribosomal subunit
ppa:PAS_chr4_0894;		
ppa:PAS_chr4_0893;	F:GO:0004721; F:GO:0004722; F:GO:0017018; F:GO:0046872; C:GO:0005739	F:phosphoprotein phosphatase activity; F:protein serine/threonine phosphatase activity; F:myosin phosphatase activity; F:metal ion binding; C:mitochondrion
ppa:PAS_chr4_0892;	P:GO:0006754; P:GO:0015986; P:GO:1902600; F:GO:0015078; C:GO:0000276; C:GO:0005739; C:GO:0005743; C:GO:0045263	"P:ATP biosynthetic process; P:proton motive force-driven ATP synthesis; P:proton transmembrane transport; F:proton transmembrane transporter activity; C:obsolete mitochondrial proton-transporting ATP synthase complex, coupling factor F(o); C:mitochondrion; C:mitochondrial inner membrane; C:proton-transporting ATP synthase complex, coupling factor F(o)"
ppa:PAS_chr4_0891;	P:GO:0000727; P:GO:0006260; P:GO:0006267; P:GO:0006268; P:GO:0006270; P:GO:0006271; P:GO:0006279; P:GO:0030466; P:GO:0031509; P:GO:0032508; P:GO:0033260; F:GO:0003677; F:GO:0003678; F:GO:0003682; F:GO:0003688; F:GO:0003697; F:GO:0004386; F:GO:0005515; F:GO:0005524; F:GO:0008270; F:GO:0009378; F:GO:0016787; F:GO:0016887; F:GO:0017116; F:GO:0043138; F:GO:1904931; C:GO:0000781; C:GO:0005634; C:GO:0005654; C:GO:0005656; C:GO:0005737; C:GO:0031261; C:GO:0031298; C:GO:0042555; C:GO:0043596; C:GO:0071162; C:GO:0097373	"P:double-strand break repair via break-induced replication; P:DNA replication; P:pre-replicative complex assembly involved in nuclear cell cycle DNA replication; P:DNA unwinding involved in DNA replication; P:DNA replication initiation; P:DNA strand elongation involved in DNA replication; P:premeiotic DNA replication; P:silent mating-type cassette heterochromatin formation; P:subtelomeric heterochromatin formation; P:DNA duplex unwinding; P:nuclear DNA replication; F:DNA binding; F:DNA helicase activity; F:chromatin binding; F:DNA replication origin binding; F:single-stranded DNA binding; F:helicase activity; F:protein binding; F:ATP binding; F:zinc ion binding; F:four-way junction helicase activity; F:hydrolase activity; F:ATP hydrolysis activity; F:single-stranded DNA helicase activity; F:3'-5' DNA helicase activity; F:MCM complex binding; C:chromosome, telomeric region; C:nucleus; C:nucleoplasm; C:nuclear pre-replicative complex; C:cytoplasm; C:DNA replication preinitiation complex; C:replication fork protection complex; C:MCM complex; C:nuclear replication fork; C:CMG complex; C:MCM core complex"
ppa:PAS_chr4_0890;	P:GO:1901135; F:GO:0010181; F:GO:0016491; F:GO:0016853; F:GO:0097367	P:carbohydrate derivative metabolic process; F:FMN binding; F:oxidoreductase activity; F:isomerase activity; F:carbohydrate derivative binding
ppa:PAS_chr4_0889;	P:GO:0006508; P:GO:0006515; P:GO:0007005; F:GO:0004176; F:GO:0004222; F:GO:0005524; F:GO:0008237; F:GO:0016887; C:GO:0005739; C:GO:0005743; C:GO:0016020	P:proteolysis; P:protein quality control for misfolded or incompletely synthesized proteins; P:mitochondrion organization; F:ATP-dependent peptidase activity; F:metalloendopeptidase activity; F:ATP binding; F:metallopeptidase activity; F:ATP hydrolysis activity; C:mitochondrion; C:mitochondrial inner membrane; C:membrane
ppa:PAS_chr4_0888;		
ppa:PAS_chr4_0935;		
ppa:PAS_chr4_0887;		
ppa:PAS_chr4_0885;	P:GO:0006366; F:GO:0003674; C:GO:0005737	P:transcription by RNA polymerase II; F:molecular_function; C:cytoplasm
ppa:PAS_chr4_0884;	F:GO:0004672; F:GO:0004674; F:GO:0005524; F:GO:0016301; C:GO:0005737; C:GO:0016020	F:protein kinase activity; F:protein serine/threonine kinase activity; F:ATP binding; F:kinase activity; C:cytoplasm; C:membrane
ppa:PAS_chr4_0883;		
ppa:PAS_chr4_0881;	P:GO:0000398; P:GO:0006397; P:GO:0008380; C:GO:0005634; C:GO:0005681; C:GO:0005684	"P:mRNA splicing, via spliceosome; P:mRNA processing; P:RNA splicing; C:nucleus; C:spliceosomal complex; C:U2-type spliceosomal complex"
ppa:PAS_chr4_0880;	P:GO:0001731; P:GO:0006412; P:GO:0006413; P:GO:0006417; P:GO:0006450; P:GO:1990145; F:GO:0003723; F:GO:0003743; F:GO:0005515; F:GO:0031369; F:GO:0043024; C:GO:0016282; C:GO:0043614	P:formation of translation preinitiation complex; P:translation; P:translational initiation; P:regulation of translation; P:regulation of translational fidelity; P:maintenance of translational fidelity; F:RNA binding; F:translation initiation factor activity; F:protein binding; F:translation initiation factor binding; F:ribosomal small subunit binding; C:eukaryotic 43S preinitiation complex; C:multi-eIF complex
ppa:PAS_chr4_0879;	P:GO:0006897; P:GO:0007015; P:GO:0048268; F:GO:0003779; F:GO:0005543; F:GO:0030276; F:GO:0032051; F:GO:0035615; F:GO:0043325; F:GO:0051015; F:GO:0080025; C:GO:0005737; C:GO:0030136; C:GO:0030479	"P:endocytosis; P:actin filament organization; P:clathrin coat assembly; F:actin binding; F:phospholipid binding; F:clathrin binding; F:clathrin light chain binding; F:clathrin adaptor activity; F:phosphatidylinositol-3,4-bisphosphate binding; F:actin filament binding; F:phosphatidylinositol-3,5-bisphosphate binding; C:cytoplasm; C:clathrin-coated vesicle; C:actin cortical patch"
ppa:PAS_chr4_1001;	P:GO:0016042; P:GO:0045895; F:GO:0003677; F:GO:0008301; C:GO:0005634	"P:lipid catabolic process; P:positive regulation of mating-type specific transcription, DNA-templated; F:DNA binding; F:DNA binding, bending; C:nucleus"
ppa:PAS_chr4_0878;	P:GO:0001654; P:GO:0006355; P:GO:0007420; P:GO:0009880; P:GO:0009887; P:GO:0016042; P:GO:0045895; P:GO:0045944; F:GO:0000978; F:GO:0001228; F:GO:0003677; F:GO:0008301; C:GO:0005634	"P:eye development; P:regulation of DNA-templated transcription; P:brain development; P:embryonic pattern specification; P:animal organ morphogenesis; P:lipid catabolic process; P:positive regulation of mating-type specific transcription, DNA-templated; P:positive regulation of transcription by RNA polymerase II; F:RNA polymerase II cis-regulatory region sequence-specific DNA binding; F:DNA-binding transcription activator activity, RNA polymerase II-specific; F:DNA binding; F:DNA binding, bending; C:nucleus"
ppa:PAS_chr4_0877;	P:GO:0008272; P:GO:0015709; P:GO:0015729; P:GO:0035435; P:GO:0071422; P:GO:0071423; P:GO:1902356; P:GO:1902358; F:GO:0005310; F:GO:0015116; F:GO:0015117; F:GO:0015131; F:GO:0015140; F:GO:0015141; F:GO:0015297; C:GO:0016020	P:obsolete sulfate transport; P:thiosulfate transport; P:oxaloacetate transport; P:phosphate ion transmembrane transport; P:succinate transmembrane transport; P:malate transmembrane transport; P:oxaloacetate(2-) transmembrane transport; P:sulfate transmembrane transport; F:dicarboxylic acid transmembrane transporter activity; F:sulfate transmembrane transporter activity; F:thiosulfate transmembrane transporter activity; F:oxaloacetate transmembrane transporter activity; F:malate transmembrane transporter activity; F:succinate transmembrane transporter activity; F:antiporter activity; C:membrane
ppa:PAS_chr4_0876;		
ppa:PAS_chr4_0875;		
ppa:PAS_chr4_0874;	P:GO:0006465; P:GO:0045047; C:GO:0005783; C:GO:0005787; C:GO:0005789; C:GO:0016020	P:signal peptide processing; P:protein targeting to ER; C:endoplasmic reticulum; C:signal peptidase complex; C:endoplasmic reticulum membrane; C:membrane
ppa:PAS_chr4_0873;		
ppa:PAS_chr4_0872;	P:GO:0006364; C:GO:0005634; C:GO:0005730	P:rRNA processing; C:nucleus; C:nucleolus
ppa:PAS_chr4_0871;		
ppa:PAS_chr4_0870;	P:GO:0016192; F:GO:0031267; C:GO:0005794; C:GO:0016020	P:vesicle-mediated transport; F:small GTPase binding; C:Golgi apparatus; C:membrane
ppa:PAS_chr4_0869;		
ppa:PAS_chr4_0868;	P:GO:0007030; C:GO:0005794	P:Golgi organization; C:Golgi apparatus
ppa:PAS_chr4_0867;	P:GO:0007059; P:GO:0051301; C:GO:0000775; C:GO:0000776; C:GO:0005634; C:GO:0005694; C:GO:0031262	"P:chromosome segregation; P:cell division; C:chromosome, centromeric region; C:kinetochore; C:nucleus; C:chromosome; C:Ndc80 complex"
ppa:PAS_chr4_0866;	F:GO:0004620; F:GO:0004767; F:GO:0016788; C:GO:0016020	"F:phospholipase activity; F:sphingomyelin phosphodiesterase activity; F:hydrolase activity, acting on ester bonds; C:membrane"
ppa:PAS_chr4_0865;	P:GO:0009058; P:GO:0009086; P:GO:0009092; F:GO:0004414; F:GO:0016740; F:GO:0016747	"P:biosynthetic process; P:methionine biosynthetic process; P:homoserine metabolic process; F:homoserine O-acetyltransferase activity; F:transferase activity; F:acyltransferase activity, transferring groups other than amino-acyl groups"
ppa:PAS_chr4_0864;	P:GO:0006309; F:GO:0000014; F:GO:0003676; F:GO:0004519; F:GO:0004521; F:GO:0016787; F:GO:0046872; C:GO:0005634; C:GO:0005743	P:apoptotic DNA fragmentation; F:single-stranded DNA endodeoxyribonuclease activity; F:nucleic acid binding; F:endonuclease activity; F:RNA endonuclease activity; F:hydrolase activity; F:metal ion binding; C:nucleus; C:mitochondrial inner membrane
ppa:PAS_chr4_0863;		
ppa:PAS_chr4_0862;		
ppa:PAS_chr4_0861;	P:GO:0006887; P:GO:0006893; C:GO:0000145; C:GO:0005737	P:exocytosis; P:Golgi to plasma membrane transport; C:exocyst; C:cytoplasm
ppa:PAS_chr4_1000;		
ppa:PAS_chr4_0860;		
ppa:PAS_chr4_0859;	P:GO:0055085; P:GO:0090374; F:GO:0005524; F:GO:0015421; F:GO:0016887; F:GO:0140359; C:GO:0005743; C:GO:0016020	P:transmembrane transport; P:oligopeptide export from mitochondrion; F:ATP binding; F:ABC-type oligopeptide transporter activity; F:ATP hydrolysis activity; F:ABC-type transporter activity; C:mitochondrial inner membrane; C:membrane
ppa:PAS_chr4_0858;	P:GO:0006357; F:GO:0003712; C:GO:0005634; C:GO:0016020; C:GO:0016592	P:regulation of transcription by RNA polymerase II; F:transcription coregulator activity; C:nucleus; C:membrane; C:mediator complex
ppa:PAS_chr4_0857;	P:GO:0006355; P:GO:0006357; F:GO:0000981; F:GO:0008270	"P:regulation of DNA-templated transcription; P:regulation of transcription by RNA polymerase II; F:DNA-binding transcription factor activity, RNA polymerase II-specific; F:zinc ion binding"
ppa:PAS_chr4_0856;	P:GO:0006508; P:GO:0034982; F:GO:0004176; F:GO:0004222; F:GO:0005524; F:GO:0008237; F:GO:0008270; F:GO:0016887; C:GO:0005745; C:GO:0016020	P:proteolysis; P:mitochondrial protein processing; F:ATP-dependent peptidase activity; F:metalloendopeptidase activity; F:ATP binding; F:metallopeptidase activity; F:zinc ion binding; F:ATP hydrolysis activity; C:m-AAA complex; C:membrane
ppa:PAS_chr4_0999;	P:GO:0007010; P:GO:0031110; P:GO:0035372; P:GO:0051225; P:GO:0051301; F:GO:0008017; F:GO:0051010; C:GO:0005815; C:GO:0005874; C:GO:0005881; C:GO:0035371; C:GO:0051233	P:cytoskeleton organization; P:regulation of microtubule polymerization or depolymerization; P:protein localization to microtubule; P:spindle assembly; P:cell division; F:microtubule binding; F:microtubule plus-end binding; C:microtubule organizing center; C:microtubule; C:cytoplasmic microtubule; C:microtubule plus-end; C:spindle midzone
ppa:PAS_chr4_0855;		
ppa:PAS_chr4_0854;		
ppa:PAS_chr4_0853;	P:GO:0006357; F:GO:0003677; F:GO:0008301; C:GO:0005634	"P:regulation of transcription by RNA polymerase II; F:DNA binding; F:DNA binding, bending; C:nucleus"
ppa:PAS_chr4_0852;	P:GO:0006886; P:GO:0015031; P:GO:0016192; F:GO:0035615; C:GO:0016020; C:GO:0030117; C:GO:0030131; C:GO:0030136; C:GO:0031410	P:intracellular protein transport; P:protein transport; P:vesicle-mediated transport; F:clathrin adaptor activity; C:membrane; C:membrane coat; C:clathrin adaptor complex; C:clathrin-coated vesicle; C:cytoplasmic vesicle
ppa:PAS_chr4_0851;		
ppa:PAS_chr4_0850;	F:GO:0004519; F:GO:0043130; C:GO:0005634	F:endonuclease activity; F:ubiquitin binding; C:nucleus
ppa:PAS_chr4_0849;	P:GO:0043161; C:GO:0034657	P:proteasome-mediated ubiquitin-dependent protein catabolic process; C:GID complex
ppa:PAS_chr4_0847;	F:GO:0016757; C:GO:0005737	F:glycosyltransferase activity; C:cytoplasm
ppa:PAS_chr4_0846;	P:GO:0061640; F:GO:0003924; F:GO:0005525; F:GO:0060090; C:GO:0005935; C:GO:0005938; C:GO:0005940; C:GO:0015630; C:GO:0031105; C:GO:0032153; C:GO:0032156	P:cytoskeleton-dependent cytokinesis; F:GTPase activity; F:GTP binding; F:molecular adaptor activity; C:cellular bud neck; C:cell cortex; C:septin ring; C:microtubule cytoskeleton; C:septin complex; C:cell division site; C:septin cytoskeleton
ppa:PAS_chr4_0845;	P:GO:0006412; F:GO:0003735; C:GO:0005739; C:GO:0005762; C:GO:0005840; C:GO:0015934; C:GO:0044391; C:GO:1990904	P:translation; F:structural constituent of ribosome; C:mitochondrion; C:mitochondrial large ribosomal subunit; C:ribosome; C:large ribosomal subunit; C:ribosomal subunit; C:ribonucleoprotein complex
ppa:PAS_chr4_0844;	P:GO:0006457; P:GO:0034976; F:GO:0003756; F:GO:0016853; C:GO:0005783; C:GO:0005788; C:GO:0009986	P:protein folding; P:response to endoplasmic reticulum stress; F:protein disulfide isomerase activity; F:isomerase activity; C:endoplasmic reticulum; C:endoplasmic reticulum lumen; C:cell surface
ppa:PAS_chr4_0843;	P:GO:0006979; P:GO:0030091; F:GO:0016491; F:GO:0033743; F:GO:0046872	P:response to oxidative stress; P:protein repair; F:oxidoreductase activity; F:peptide-methionine (R)-S-oxide reductase activity; F:metal ion binding
ppa:PAS_chr4_0842;	F:GO:0004462; F:GO:0016829; F:GO:0046872	F:lactoylglutathione lyase activity; F:lyase activity; F:metal ion binding
ppa:PAS_chr4_0841;	P:GO:0006886; P:GO:0006897; P:GO:0007015; P:GO:0007034; P:GO:0016192; P:GO:0051666; F:GO:0035091; F:GO:0043130; C:GO:0030479	P:intracellular protein transport; P:endocytosis; P:actin filament organization; P:vacuolar transport; P:vesicle-mediated transport; P:actin cortical patch localization; F:phosphatidylinositol binding; F:ubiquitin binding; C:actin cortical patch
ppa:PAS_chr4_0840;	P:GO:0000750; P:GO:0007165; P:GO:0007186; P:GO:0007188; P:GO:0034599; F:GO:0001664; F:GO:0003924; F:GO:0005525; F:GO:0015038; F:GO:0016491; F:GO:0031683; F:GO:0031821; F:GO:0031852; F:GO:0051430; C:GO:0005634; C:GO:0005737; C:GO:0005834	P:pheromone-dependent signal transduction involved in conjugation with cellular fusion; P:signal transduction; P:G protein-coupled receptor signaling pathway; P:adenylate cyclase-modulating G protein-coupled receptor signaling pathway; P:cellular response to oxidative stress; F:G protein-coupled receptor binding; F:GTPase activity; F:GTP binding; F:glutathione disulfide oxidoreductase activity; F:oxidoreductase activity; F:G-protein beta/gamma-subunit complex binding; F:G protein-coupled serotonin receptor binding; F:mu-type opioid receptor binding; F:corticotropin-releasing hormone receptor 1 binding; C:nucleus; C:cytoplasm; C:heterotrimeric G-protein complex
ppa:PAS_chr4_0838;	C:GO:0016020	C:membrane
ppa:PAS_chr4_0837;	P:GO:0071171; P:GO:1902979; C:GO:0005634	P:site-specific DNA replication termination at RTS1 barrier; P:mitotic DNA replication termination; C:nucleus
ppa:PAS_chr4_0836;	P:GO:0000296; P:GO:0015848; P:GO:0055085; P:GO:1903710; P:GO:1903711; F:GO:0000297; F:GO:0015606; F:GO:0022857; C:GO:0016020	P:spermine transport; P:spermidine transport; P:transmembrane transport; P:spermine transmembrane transport; P:spermidine transmembrane transport; F:spermine transmembrane transporter activity; F:spermidine transmembrane transporter activity; F:transmembrane transporter activity; C:membrane
ppa:PAS_chr4_0835;	P:GO:0006772; C:GO:0005829	P:thiamine metabolic process; C:cytosol
ppa:PAS_chr4_0834;	P:GO:0006508; P:GO:0016485; P:GO:0071586; P:GO:0080120; F:GO:0004175; F:GO:0004222; F:GO:0008233; C:GO:0005783; C:GO:0005789; C:GO:0016020	P:proteolysis; P:protein processing; P:CAAX-box protein processing; P:CAAX-box protein maturation; F:endopeptidase activity; F:metalloendopeptidase activity; F:peptidase activity; C:endoplasmic reticulum; C:endoplasmic reticulum membrane; C:membrane
ppa:PAS_chr4_0833;	P:GO:0010971; P:GO:0030010; C:GO:0005737; C:GO:0030428	P:positive regulation of G2/M transition of mitotic cell cycle; P:establishment of cell polarity; C:cytoplasm; C:cell septum
ppa:PAS_chr4_0998;	F:GO:0043022; C:GO:0005739; C:GO:0005743	F:ribosome binding; C:mitochondrion; C:mitochondrial inner membrane
ppa:PAS_chr4_0832;	P:GO:0055085; F:GO:0005524; F:GO:0005525; F:GO:0016887; F:GO:0140359; C:GO:0016020	P:transmembrane transport; F:ATP binding; F:GTP binding; F:ATP hydrolysis activity; F:ABC-type transporter activity; C:membrane
ppa:PAS_chr4_0831;	P:GO:0006364; P:GO:0006409; P:GO:0042254; F:GO:0003723; C:GO:0005634; C:GO:0005730; C:GO:0032040; C:GO:0032545; C:GO:0034456; C:GO:1990904	P:rRNA processing; P:tRNA export from nucleus; P:ribosome biogenesis; F:RNA binding; C:nucleus; C:nucleolus; C:small-subunit processome; C:CURI complex; C:UTP-C complex; C:ribonucleoprotein complex
