Matching_ProteinAccession	S10	S1	S2	S3	S4	S5	S6	S7	S8	S9
ppa:PAS_chr1-1_0338	13.870934801448993	16.352926536246684	No Data	No Data	14.321813618693293	14.517934850488317	15.667331175758989	No Data	10.419984087506414	14.872335581619234
ppa:PAS_chr1-1_0405	15.933686243186036	14.37656592887758	14.882191416365742	15.513596290281258	15.747985290796016	15.9087726462911	15.09462105983717	14.329782243859588	16.076795702979773	16.086214476118787
A0A1G4KPA3	16.477519151668634	No Data	No Data	14.13287794443589	14.149704951649197	15.971055835612656	No Data	No Data	13.077987721417484	15.257502367351687
ppa:PAS_chr1-1_0451	No Data	13.52801001092726	No Data	No Data	No Data	12.980714436854758	13.423947223867756	10.724234568548148	No Data	No Data
ppa:PAS_chr1-1_0385	14.276897804747607	16.88941706612952	15.1060195720029	No Data	15.928066417718671	12.201467970626917	16.526468673239872	16.036452007585506	16.20829152232142	16.052620451767847
ppa:PAS_chr1-1_0415	16.681608281656402	No Data	15.188920353619569	14.865969009021482	15.914975117661417	16.50719820961057	No Data	No Data	15.706747251001772	16.1120877206899
ppa:PAS_chr1-1_0350	15.66560406997838	15.165759152764492	15.535645587830642	15.87065444450816	15.796229276394865	16.12083380748285	15.614569106304495	15.391106812300198	16.030041017751387	15.645674152525018
ppa:PAS_chr1-1_0501	12.091209702212431	12.979266870608871	12.960791913169986	No Data	No Data	12.82319879807412	12.843982947247149	12.412169505492493	No Data	13.028733511037435
ppa:PAS_chr1-1_0404	14.435398758603544	17.097181328998914	15.916212145044648	13.605974192228068	14.694430370119926	No Data	16.719139675522094	15.947139730988754	15.26461240058992	14.310605570828756
A0A1G4KPB3	No Data	14.44729577913644	12.501672360598864	No Data	No Data	No Data	14.47332796723885	13.410939227631294	No Data	No Data
ppa:PAS_chr1-4_0003	19.25678255262447	19.62223685742981	19.46617456683731	19.177022398857684	19.37035496709128	19.27288431797772	19.799819339424484	19.541742759734674	19.178757689566545	19.182071650629982
ppa:PAS_chr1-4_0002	17.718210615834607	17.39865641689333	17.76120130279846	17.13393503944275	17.416010807667906	17.529693623121904	17.854719746933917	17.779820429661065	17.343025322846888	17.44799313644459
A0A1G4KPB9	No Data	13.233398790703117	10.945221895406378	No Data	No Data	No Data	12.899411414641948	No Data	No Data	No Data
ppa:PAS_chr1-4_0041	14.838596887645403	16.941410799176424	16.518674163898776	15.779992410359108	14.870618043955384	14.83057429602116	16.77184708611908	16.706010605690874	15.690419955956802	14.922104896720391
ppa:PAS_chr1-1_0454	14.930249072325712	14.644644397925012	14.727973930441651	14.801196709899353	14.6790858379121	15.434366583506405	14.3104455365779	14.000980483804383	14.658438795257126	14.626883955900698
ppa:PAS_chr1-4_0063	20.65504227031063	20.934528465859955	21.0979473997329	20.99897315620498	20.534048016677914	20.710809375872103	21.006642305997428	21.11815564804428	20.6966373348071	20.71878996365212
ppa:PAS_chr1-4_0026	15.855726522746892	16.349754198625376	15.631968890255072	15.670281615092506	15.705811860999392	15.768522873133987	16.18970996205292	15.931856177977918	15.665317264995434	15.742069462077003
ppa:PAS_chr1-4_0025	15.130869652127648	16.20278445967658	16.572124023985733	16.077115116420575	15.193500395042744	16.100486378432333	14.983895248740524	15.67340947539224	16.008802850523296	13.66236131784482
ppa:PAS_chr1-4_0654	16.31092198145458	No Data	No Data	No Data	15.186608623988644	16.52958556572012	No Data	15.401222237369629	16.09342981548269	16.15143623046623
ppa:PAS_chr1-4_0059	17.039612884211422	17.389116504041358	17.457098523941454	16.67978375031799	16.86383444819941	17.366663587559	17.004916165475112	17.62116675053933	16.75147071201097	16.94856596578211
A0A1G4KPD1	16.29714647573199	15.493516989667228	14.774987883664489	16.18920276180641	16.478628675038436	16.579074082274264	15.844879087074917	14.778056770406742	16.614123664329774	16.45970313805625
ppa:PAS_chr1-4_0120	15.791403479597609	No Data	14.197954097487806	No Data	No Data	16.264295977426446	No Data	No Data	No Data	No Data
ppa:PAS_chr1-4_0064	18.23151857416361	17.898303288422206	19.4628649317184	18.784753645189333	18.76009820020976	18.65170582304873	17.81406215751905	19.32513043235432	18.55668250493271	18.51424920713537
ppa:PAS_chr1-4_0119	14.54591822468946	14.723137621938266	14.54321771552971	14.386702957056256	13.785063077293875	14.17738349425266	14.76866632582102	13.519928100842504	14.43709204761977	14.584954016218765
ppa:PAS_chr1-4_0121	16.742632731257064	No Data	16.331596547248957	15.503980493234693	16.997778854952024	16.865868414498113	16.18130393729348	15.531291022696472	17.183470316006904	17.45313056807362
ppa:PAS_chr1-4_0005	13.582374938424	17.00236522930651	15.83509752303264	No Data	13.285209162034825	13.88038916813328	17.04188420095794	15.197296945541847	13.604340003437107	14.391698021254465
ppa:PAS_chr1-4_0126	13.79360380536449	14.978512256025962	15.303997386511014	14.291019458663415	14.129520746173773	14.053633439321448	14.471389565079832	14.823076026185277	13.687026197394491	13.511444910530596
ppa:PAS_chr1-4_0208	17.260152740875327	17.028973733545385	16.779168179107312	16.984987184483444	17.277054507123367	17.41291207767881	16.61905416286434	16.515276943334644	16.767078162822354	17.02529707262281
ppa:PAS_chr1-4_0149	15.462213427892062	17.01001274415593	16.193307574960937	16.088569580240257	16.546364030433118	16.211091866427356	16.529049328788776	16.530634940791714	15.472785149945082	15.598365260757946
ppa:PAS_chr1-4_0661	8.91781274305752	12.13404647377178	12.640927257176456	11.624437725938233	11.90078621134919	12.779686496887024	10.514599812696416	12.612277181041712	12.875949816359189	13.402836292838236
ppa:PAS_chr1-4_0062	12.648799161584757	13.132874180032116	13.237827162931769	12.649621181757638	12.674741080162637	13.239816137890848	12.785821005335825	13.121305061829998	No Data	12.58863515507284
ppa:PAS_chr1-4_0238	18.72012180062756	18.116012010789326	17.661742984007798	18.343221777600995	18.7552740164244	19.02037351088202	17.729966699562354	17.349005528195356	18.64848793061226	18.812439781874488
ppa:PAS_chr1-4_0102	14.944041596305222	15.618370154147623	15.218753301522554	15.708701032364214	15.770418003124393	15.76685986082409	15.288168503388984	14.841108116502127	15.017878661143731	15.254973228061674
A0A1G4KPF7	13.054075973321163	12.136499452409597	14.023979675599485	11.762193141274263	12.919611238929374	10.115704587025512	12.832941861476469	10.785298201314664	13.170567691199349	10.470024911698186
ppa:PAS_chr1-4_0352	21.505002964432983	21.78895077151008	21.733457288600288	21.6815508073762	21.89745746289641	20.71239307487987	21.70234350006622	21.137607678937385	22.06059946358675	21.557776389001983
ppa:PAS_chr1-4_0670	14.243554778860926	12.506044814505362	13.93278866343202	13.860661906448936	13.78446671238492	14.202381238745254	12.57036079403685	13.412550465504683	13.488597623968724	13.20981907524147
ppa:PAS_chr1-4_0348	14.84108805168656	16.782842779767964	16.089540028653328	15.392424604936958	15.163236748208565	No Data	16.187054799915487	15.991121044475186	15.341082519671984	15.09647549599986
ppa:PAS_chr1-4_0349	18.390550784045203	14.340850739128774	15.996520812733714	17.148321255451616	17.675442389252233	17.83452756618139	14.497999805804543	15.016782448887946	17.53720654919554	17.309242353891683
ppa:PAS_chr1-4_0362	16.646292927310085	17.249112439753933	16.980325091740347	16.74777657552607	16.634070754239236	16.667129737851667	16.982126859008936	16.829710542787538	16.340265487107242	16.440460128452436
ppa:PAS_chr1-4_0399	17.505972636131407	17.46424971019105	17.917804003931117	18.10855651997	17.328138006185085	17.629741587489395	17.590189090975088	17.854246443161454	17.59463350420059	17.42726283665849
ppa:PAS_chr1-4_0420	15.156054676111562	16.331701640457904	16.282550169458	16.248077981364467	15.740081819517949	16.18897376197051	16.297507832741548	16.520712307261615	16.157107578306785	15.870434240057545
ppa:PAS_chr1-4_0442	14.577083250993624	13.635703398281589	14.309451651012017	14.843392815524371	15.082364776506532	15.417547508125176	13.886367800236528	14.491062340383747	14.322379719425424	15.269079582450887
ppa:PAS_chr1-4_0697	16.155262641659665	15.128473940970558	15.196556953953529	14.676821500980394	15.509972963772464	15.725898235319736	15.30666445587363	15.337057939612938	15.151420900708448	15.616018396472343
ppa:PAS_chr1-4_0197	14.84446030006674	14.826440547850591	14.458431270961984	14.17981875478204	14.545651499860162	14.692573681558455	14.564019553400104	14.687578585751682	14.369989980065348	14.138604761666818
ppa:PAS_chr1-4_0366	15.524463880103491	15.906445114702231	16.273680653545245	16.373362757934725	16.247195949141396	15.723182315924255	15.832649773624038	16.171417802628905	15.847640438030217	15.85127409457849
ppa:PAS_chr1-4_0383	18.323457929074983	18.58825747704955	18.72104660507226	18.766298187765766	18.583016294116423	18.446426321748827	18.21938967550804	18.19889566338898	18.67019180517273	17.854703864859797
ppa:PAS_chr1-4_0677	No Data	No Data	No Data	No Data	No Data	10.907758319578775	12.502251652416408	15.350331432791409	No Data	No Data
ppa:PAS_chr1-4_0353	22.028280772543123	21.978824516082536	22.476368846138826	22.78955065890964	22.535234789998565	22.4820302038227	22.194809145591982	22.13817288127229	22.620538892121303	22.49068026368719
ppa:PAS_chr1-4_0328	14.975417071923909	16.187202386839918	15.74587401118744	16.306668488303565	15.919591691238002	15.86669080016466	15.941601897730688	15.759779100440698	15.655109329074664	15.286513627623544
ppa:PAS_chr1-4_0427	15.554673508568458	16.01141632262679	15.759110000838955	16.32611810598864	16.169411408057503	16.016549368810065	15.947044729354458	15.917875918084237	15.827419659543311	15.837292033569218
ppa:PAS_chr1-4_0523	15.291744173410368	14.602630571136991	14.965260261556836	14.88799142644459	14.81380007402416	14.6435169175461	14.906749792274216	15.369739239157036	14.079882685995688	14.734605955371704
ppa:PAS_chr1-4_0504	20.77772938023425	19.59077285594654	20.241611103394472	20.44719221868459	21.694444079818748	19.313843765183726	20.85576700724809	19.313813740910447	20.82007083758901	21.20523110816263
ppa:PAS_chr1-4_0543	No Data	No Data	12.206470540683174	No Data	No Data	No Data	No Data	No Data	No Data	No Data
ppa:PAS_chr1-4_0552	14.14229858395004	14.124458974732052	13.276912993132193	13.704038078228818	13.751504219216832	14.202275258724084	13.620391226303273	13.205633384340866	13.75695195641085	13.663315416497856
ppa:PAS_chr1-4_0559	14.726109723749186	No Data	No Data	No Data	No Data	No Data	No Data	13.60911120133044	No Data	No Data
ppa:PAS_chr1-4_0626	14.143816495323792	No Data	No Data	No Data	No Data	13.980313410635096	No Data	No Data	No Data	No Data
ppa:PAS_chr1-4_0576	15.731014224528309	15.412590907523256	15.347577036223983	15.568531625274566	15.56162031348704	15.467473710126525	15.56558650359404	15.731316337571906	15.21997526977135	15.387565899406132
A0A1G4KPJ1	16.446429098386346	No Data	14.500875180900843	16.00835065271428	16.09015652733316	16.94414752221624	12.62082579044115	15.86228878365086	15.971406728754662	16.129222477781692
ppa:PAS_chr1-4_0418	18.96966405491559	18.811596945734053	18.895691020527376	18.97331383113384	19.411963993433297	19.05717008162379	18.657991873140386	18.570698489807658	19.00687887483764	19.12729395937802
ppa:PAS_chr1-4_0368	18.196436887092048	17.846668550920526	18.41402141201271	18.04182004793608	18.09275391545408	18.04199378910465	18.24423272649077	18.57322499272672	18.032555633209675	18.1338254774707
ppa:PAS_chr1-4_0511	18.36152351029768	18.572549779105938	18.6500733343993	18.284682922788623	18.120769749286985	18.167598073329174	18.64281478237232	18.5977733100224	18.35555851517149	18.26896183397769
ppa:PAS_chr1-4_0547	24.71228600945592	20.69364136473162	19.427654536817226	24.23985283972804	23.89876540322278	24.088521218601823	17.30919974127499	17.697808896803533	23.54195386379955	24.02160119118656
ppa:PAS_FragB_0041	16.54433907057563	15.664146900149111	16.866864802425486	15.761118094509756	16.1055393010404	16.666367809962495	16.185806580707503	16.525672060024394	16.23247992216643	16.328522363428494
ppa:PAS_chr1-4_0594	14.670950312434345	16.347235036684555	16.17946844350327	15.237672413093172	15.196989562033297	15.044950360354155	15.647518153377897	15.929442906177307	14.822821117213891	14.74759323347489
ppa:PAS_FragB_0071	16.64889140996321	16.515271769172227	16.158340490240125	15.148303720015376	16.27379986682268	15.774767558678574	16.141299997371853	15.728101641510143	16.200079018293135	16.68685868751881
ppa:PAS_FragB_0054	15.595195778935595	16.565253188139273	16.183848727108153	14.80574219959535	15.904755238815705	15.399042917851782	16.61879939155793	15.546081957996464	15.705531568638678	15.572569554407504
ppa:PAS_FragB_0053	16.05328193316241	17.47266419318361	17.627286841444953	17.144976201889733	16.481941051826198	16.06535811492588	17.6267380519605	17.621373031970634	17.260280974824667	16.720685040690473
ppa:PAS_FragB_0064	No Data	12.082207039591845	No Data	No Data	No Data	No Data	13.189696390773207	No Data	No Data	No Data
ppa:PAS_chr1-4_0522	14.259257801530442	No Data	14.818205139198986	15.289009376575835	14.811581071710608	14.288562670917564	14.018898846269328	15.01125524166194	14.287795642065594	14.735918011557125
A0A1G4KPL4	No Data	No Data	13.532066224001944	No Data	No Data	15.629634656226004	No Data	12.706907620965474	No Data	No Data
ppa:PAS_chr2-2_0452	17.344038357577627	16.247206671772105	16.65621316629998	16.9968552259041	17.287824944819803	17.691006841100375	16.568588332694695	16.89810544438628	17.2790206399309	17.466752979404944
ppa:PAS_chr1-4_0614	15.76310900727816	15.705065243126787	15.90700946511959	15.101597441070144	15.554742354493314	15.703436932561742	15.962983087278907	15.130311479974608	15.376064034293162	15.688792199938916
ppa:PAS_chr2-2_0081	17.54345208647921	18.24134764590243	17.801114098821472	17.86850278979724	17.461958862082483	17.63006466738496	18.086441752840987	18.08684438049408	17.70672585996795	17.505963068592663
ppa:PAS_c121_0011	11.73500073083606	11.833757366634556	13.189103201126692	No Data	9.311752748930092	11.878967199663904	13.401507278524017	12.720015202846936	No Data	No Data
ppa:PAS_chr2-2_0082	19.80637605790903	No Data	17.636114341617496	17.4260358956356	17.45260799585383	19.3722753820536	16.04508488644374	16.947500947690777	17.145918622729425	18.43733160659806
ppa:PAS_chr2-2_0092	17.112533047396607	16.152239498625033	16.313424614082273	16.334834928056935	16.950502235376778	16.463373698857055	16.640208301297402	15.84380702546692	17.114498860113404	16.673002440774987
ppa:PAS_chr2-2_0144	No Data	13.73567201443538	13.411886821911214	13.71562878723418	13.364439942800338	13.634249270997996	13.50862052525884	13.377677345598268	13.647568546045909	14.01289319703325
ppa:PAS_chr2-2_0063	21.13936508194374	19.43766039559016	19.273665288826287	19.998473706803733	20.42905051810185	21.07128853324738	19.15898604970743	19.35611153087038	20.018826872837906	20.68597370324734
ppa:PAS_chr2-2_0148	22.219286562677645	23.710311853251472	23.099527441291208	22.922379969704394	22.47406857529069	22.370555983214324	22.70877174597268	22.97937966239779	22.57482043186081	22.41693794517299
A0A1G4KPN8	No Data	13.083167976290834	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
ppa:PAS_chr2-2_0155	No Data	14.977896701597553	14.638183437768074	14.758443945714795	14.712315715659198	14.557733275820718	14.732873764329645	14.349907232704387	14.379636691838977	14.67065041477986
ppa:PAS_chr2-2_0175	14.614990043328806	14.965815719996463	14.856871434654993	14.46780154646492	14.384950893655011	14.202360013468857	14.947582008346927	14.595290949974164	14.407086455276607	14.550254649458289
A0A1G4KPP3	No Data	13.083167976290834	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
ppa:PAS_chr2-2_0475	15.39080541098321	15.701177520235213	14.768048903384376	15.750742146516552	15.75280865854223	16.265181215030992	15.66594458363263	15.567567025850815	15.211147728763247	15.123576466549668
ppa:PAS_chr2-2_0458	12.523049446465173	No Data	13.835873848665134	11.249285934924904	No Data	No Data	10.413443285511423	No Data	12.226068604617614	No Data
ppa:PAS_chr2-2_0201	15.26545294729234	16.621748511448164	16.206446990654282	16.082124509184588	15.908103961700764	14.978875825691167	16.54840214543738	16.23422613494146	16.303603512434584	15.641638138290974
ppa:PAS_chr2-2_0221	16.984441319918957	18.14306692831768	18.064665313632617	17.300274069730147	16.921675710795572	16.756788708237853	18.20082229357283	18.182713347432983	17.577147116362088	16.899166324022012
ppa:PAS_chr2-2_0249	17.24731664658665	17.020921968826954	17.54122993291062	17.52451230325086	17.398744866005945	17.170929488971495	17.14603659577069	17.75044877713451	16.826085832818535	17.54959808947111
ppa:PAS_chr2-2_0472	13.244771168640224	14.16107789534334	13.91769776469242	13.651575326948151	14.019872341515482	13.415146661136497	13.980698488581575	14.156064708846692	13.233200988526992	13.86309354523938
ppa:PAS_chr2-2_0115	No Data	11.600499265385258	No Data	11.442735362060333	No Data	No Data	11.613027167710143	11.766181600060628	No Data	No Data
ppa:PAS_chr2-2_0291	16.713748025314594	17.413212641608933	17.348934231703698	16.455717143902213	16.653026759815376	16.928824660698563	17.759217610068415	16.867868701485015	17.250589158461963	16.85971742521004
ppa:PAS_chr2-2_0488	17.25767571967106	16.66716028024655	19.51744665035741	17.296818068983175	16.93554591191248	17.604460476969557	16.102926256830532	15.952152463937846	17.176328245635503	17.27652272867461
ppa:PAS_chr2-2_0095	15.110926583892676	15.13135993649873	14.774766251906296	15.08361793647055	15.048681263977867	15.14838906747795	14.727471802136238	14.683457280895338	14.568826386766087	14.874029213043132
ppa:PAS_chr2-2_0265	19.114445958460305	17.607026830350712	18.22538191823677	17.69087132891158	18.44149226054936	19.2777088110966	17.149610999715513	17.74441525840504	18.709975239808024	18.9123899663388
ppa:PAS_chr2-2_0486	13.711407773144268	12.479150791621668	14.883725795523407	10.698650200844206	15.401553499626525	12.845165454754488	14.401598026724836	No Data	13.637447524160656	12.264205905837484
ppa:PAS_chr2-2_0262	14.090161858938044	12.648735209484704	13.137915785428833	12.337757993127184	14.151765239030944	16.24694524871077	No Data	13.753356732678174	13.458787321588126	14.397946409800143
ppa:PAS_chr2-2_0483	16.12696010932615	13.932852267134743	14.615532318470198	15.376989647411827	16.171555698014355	16.47211653866186	14.31970794887533	14.731236567640895	14.7555451158355	15.860157767400628
ppa:PAS_chr2-2_0185	16.30564041008212	16.53496940604786	16.443235212187723	16.07650052100628	15.985321936015806	16.114663589472684	16.693655826270625	16.37031625064378	15.743292357611676	16.009593898506054
ppa:PAS_chr2-2_0346	20.50188783088765	19.114113412058632	19.29060669902001	19.20457651709381	20.01605299188168	19.83370197822544	18.975199432295675	19.011632661555115	19.491603340615985	19.88626089537312
ppa:PAS_chr2-2_0358	13.819325432517967	15.076436584135418	14.94298665048455	No Data	14.182350704080251	14.011680258589903	No Data	No Data	11.604004887051484	12.42714810707412
ppa:PAS_chr2-2_0173	15.50573015817262	15.541963313734824	16.24242430309029	15.086791426637092	15.67793938639408	15.872539809138676	15.549716289972247	15.590820816740065	15.507201597742284	15.642940456198064
ppa:PAS_chr2-2_0491	13.999705105608172	15.514823712598057	15.307683745716234	14.863988573991332	14.75862601573579	14.592914235496156	15.343202526488565	15.556895643034888	14.200614735893748	14.491903971722587
ppa:PAS_chr2-2_0397	15.731239468442938	15.316809351507654	14.48084491870344	14.917413420170178	15.526782659225487	15.543042325452156	14.03348450437326	14.007622051146036	14.91495833464451	15.399182726646826
ppa:PAS_chr2-2_0368	14.639145925313269	16.652189825458773	16.41271313114239	16.432007608915846	15.755717366369437	14.949440694578092	16.54528479053623	17.521691007858603	15.821733116033508	15.672341277100369
ppa:PAS_chr2-2_0402	19.654570258814715	20.19380431259598	20.06678459254681	19.673281898466104	19.634505316994424	19.50350331835952	20.163815643071924	19.98131424278425	19.68072114271689	19.67362092844217
ppa:PAS_chr2-2_0425	16.749976705426747	16.43087005116819	16.79030772531407	16.42356515858432	16.60041975088506	16.620593479900272	16.525238574995022	16.636294708001028	16.453236592329727	16.564578302364087
ppa:PAS_chr2-2_0495	14.36051464618369	14.559696481088997	14.664169257500648	16.188520633446995	14.643907921228614	16.556249701463255	13.362320568310894	12.818418442229872	14.351117438320564	14.56768295108422
ppa:PAS_chr2-2_0233	16.342923085290366	16.57953611612323	16.262430104237094	16.02920919707001	15.978677470786378	16.44666193829126	16.249624906562953	16.38095218767586	16.060852410666072	16.313122871683856
ppa:PAS_chr2-1_0788	15.335318245837671	16.210837338566407	15.780792547111748	15.726104733228958	15.512776142464558	15.528720099738845	15.72629207383583	15.824538694338916	15.150460065743328	15.296296608197943
ppa:PAS_chr2-2_0383	17.62021445491855	17.22089298558268	17.112075627015127	17.541723029908507	17.487154439120488	17.65281839214408	17.14357846358341	16.945531888808034	17.404165253652714	17.621825294411124
ppa:PAS_chr2-2_0440	14.603941181242712	14.332402794762244	13.882195148678164	14.019318902562942	14.934702303771278	15.702247313582705	14.09538800798091	13.520192668267784	14.08720480373288	15.231606608445254
ppa:PAS_chr2-2_0319	13.42505681895688	15.092713919079335	16.89921464465536	12.905499938860787	13.846887344763484	13.822859424488708	15.058550838740029	16.613791712208346	12.90152863536592	13.38180141666558
ppa:PAS_chr2-1_0888	No Data	14.051224045483515	13.49056875458434	No Data	No Data	No Data	13.966344910705953	13.280478261585092	No Data	No Data
A0A1G4KPT7	No Data	12.40828697605898	15.99880620459472	15.014494391288205	13.66705142939579	13.665826534991758	14.869149122246275	13.310907146924055	14.515893618703585	8.783244462373656
ppa:PAS_chr2-1_0743	13.391331707419546	16.681504697622973	16.258431465018614	15.135292196783798	14.36652646097585	13.705452785925486	16.225080314181238	16.032603385649846	14.910876366376018	13.591185152513448
ppa:PAS_chr2-1_0703	16.58407514136961	17.07597083597645	16.762790674186647	16.56233862938215	16.486149317330312	16.209753643974736	16.696372766386805	16.500253388501644	16.497361909123285	16.420120082220695
ppa:PAS_chr2-1_0669	No Data	14.100120112720855	13.672025261601076	No Data	No Data	13.38231556983587	14.247128713532282	14.347043860116427	No Data	14.933424394205897
