"KEGG_ID","Pathways","PathwayName"
"ppa:PAS_chr1-1_0385","ppa03010","Ribosome - Komagataella phaffii"
"ppa:PAS_chr1-1_0415","NULL",NA
"ppa:PAS_chr1-1_0350","NULL",NA
"ppa:PAS_chr1-1_0501","NULL",NA
"ppa:PAS_chr1-1_0404","NULL",NA
"A0A1G4KPB3","NULL",NA
"ppa:PAS_chr1-4_0003","ppa00900","Terpenoid backbone biosynthesis - Komagataella phaffii"
"ppa:PAS_chr1-4_0003","ppa01100","Metabolic pathways - Komagataella phaffii"
"ppa:PAS_chr1-4_0003","ppa01110","Biosynthesis of secondary metabolites - Komagataella phaffii"
"ppa:PAS_chr1-4_0002","NULL",NA
"A0A1G4KPB9","NULL",NA
"ppa:PAS_chr1-4_0041","NULL",NA
"ppa:PAS_chr1-1_0454","NULL",NA
"ppa:PAS_chr1-4_0063","NULL",NA
"ppa:PAS_chr1-4_0026","NULL",NA
"ppa:PAS_chr1-4_0025","ppa00860","Porphyrin metabolism - Komagataella phaffii"
"ppa:PAS_chr1-4_0654","NULL",NA
"ppa:PAS_chr1-4_0059","NULL",NA
"A0A1G4KPD1","NULL",NA
"ppa:PAS_chr1-4_0120","NULL",NA
"ppa:PAS_chr1-4_0064","ppa00010","Glycolysis / Gluconeogenesis - Komagataella phaffii"
"ppa:PAS_chr1-4_0064","ppa00053","Ascorbate and aldarate metabolism - Komagataella phaffii"
"ppa:PAS_chr1-4_0064","ppa00071","Fatty acid degradation - Komagataella phaffii"
"ppa:PAS_chr1-4_0064","ppa00280","Valine, leucine and isoleucine degradation - Komagataella phaffii"
"ppa:PAS_chr1-4_0064","ppa00310","Lysine degradation - Komagataella phaffii"
"ppa:PAS_chr1-4_0064","ppa00330","Arginine and proline metabolism - Komagataella phaffii"
"ppa:PAS_chr1-4_0064","ppa00340","Histidine metabolism - Komagataella phaffii"
"ppa:PAS_chr1-4_0064","ppa00380","Tryptophan metabolism - Komagataella phaffii"
"ppa:PAS_chr1-4_0064","ppa00410","beta-Alanine metabolism - Komagataella phaffii"
"ppa:PAS_chr1-4_0064","ppa00561","Glycerolipid metabolism - Komagataella phaffii"
"ppa:PAS_chr1-4_0064","ppa00620","Pyruvate metabolism - Komagataella phaffii"
"ppa:PAS_chr1-4_0064","ppa00770","Pantothenate and CoA biosynthesis - Komagataella phaffii"
"ppa:PAS_chr1-4_0064","ppa01100","Metabolic pathways - Komagataella phaffii"
"ppa:PAS_chr1-4_0064","ppa01110","Biosynthesis of secondary metabolites - Komagataella phaffii"
"ppa:PAS_chr1-4_0064","ppa01240","Biosynthesis of cofactors - Komagataella phaffii"
"ppa:PAS_chr1-4_0119","ppa04136","Autophagy - other - Komagataella phaffii"
"ppa:PAS_chr1-4_0119","ppa04138","Autophagy - yeast - Komagataella phaffii"
"ppa:PAS_chr1-4_0121","ppa03022","Basal transcription factors - Komagataella phaffii"
"ppa:PAS_chr1-4_0005","NULL",NA
"ppa:PAS_chr1-4_0126","NULL",NA
"ppa:PAS_chr1-4_0208","NULL",NA
"ppa:PAS_chr1-4_0149","ppa00600","Sphingolipid metabolism - Komagataella phaffii"
"ppa:PAS_chr1-4_0149","ppa01100","Metabolic pathways - Komagataella phaffii"
"ppa:PAS_chr1-4_0661","ppa03040","Spliceosome - Komagataella phaffii"
"ppa:PAS_chr1-4_0062","NULL",NA
"ppa:PAS_chr1-4_0238","NULL",NA
"ppa:PAS_chr1-4_0102","NULL",NA
"A0A1G4KPF7","NULL",NA
"ppa:PAS_chr1-4_0352","ppa03010","Ribosome - Komagataella phaffii"
"ppa:PAS_chr1-4_0670","ppa04120","Ubiquitin mediated proteolysis - Komagataella phaffii"
"ppa:PAS_chr1-4_0348","NULL",NA
"ppa:PAS_chr1-4_0349","NULL",NA
"ppa:PAS_chr1-4_0362","NULL",NA
"ppa:PAS_chr1-4_0399","NULL",NA
"ppa:PAS_chr1-4_0420","NULL",NA
"ppa:PAS_chr1-4_0442","NULL",NA
"ppa:PAS_chr1-4_0697","ppa00670","One carbon pool by folate - Komagataella phaffii"
"ppa:PAS_chr1-4_0697","ppa00790","Folate biosynthesis - Komagataella phaffii"
"ppa:PAS_chr1-4_0697","ppa01100","Metabolic pathways - Komagataella phaffii"
"ppa:PAS_chr1-4_0697","ppa01240","Biosynthesis of cofactors - Komagataella phaffii"
"ppa:PAS_chr1-4_0697","ppa04981",NA
"ppa:PAS_chr1-4_0197","ppa04110",NA
"ppa:PAS_chr1-4_0197","ppa04111","Cell cycle - yeast - Komagataella phaffii"
"ppa:PAS_chr1-4_0197","ppa04113","Meiosis - yeast - Komagataella phaffii"
"ppa:PAS_chr1-4_0197","ppa04114",NA
"ppa:PAS_chr1-4_0197","ppa04120","Ubiquitin mediated proteolysis - Komagataella phaffii"
"ppa:PAS_chr1-4_0197","ppa04914",NA
"ppa:PAS_chr1-4_0366","ppa03018","RNA degradation - Komagataella phaffii"
"ppa:PAS_chr1-4_0383","NULL",NA
"ppa:PAS_chr1-4_0677","NULL",NA
"ppa:PAS_chr1-4_0353","ppa03010","Ribosome - Komagataella phaffii"
"ppa:PAS_chr1-4_0328","NULL",NA
"ppa:PAS_chr1-4_0427","NULL",NA
"ppa:PAS_chr1-4_0523","ppa03015","mRNA surveillance pathway - Komagataella phaffii"
"ppa:PAS_chr1-4_0504","ppa03010","Ribosome - Komagataella phaffii"
"ppa:PAS_chr1-4_0543","NULL",NA
"ppa:PAS_chr1-4_0552","NULL",NA
"ppa:PAS_chr1-4_0559","NULL",NA
"ppa:PAS_chr1-4_0626","NULL",NA
"ppa:PAS_chr1-4_0576","NULL",NA
"A0A1G4KPJ1","NULL",NA
"ppa:PAS_chr1-4_0418","NULL",NA
"ppa:PAS_chr1-4_0368","ppa04110",NA
"ppa:PAS_chr1-4_0368","ppa04340",NA
"ppa:PAS_chr1-4_0368","ppa04510",NA
"ppa:PAS_chr1-4_0368","ppa04910",NA
"ppa:PAS_chr1-4_0368","ppa04916",NA
"ppa:PAS_chr1-4_0511","NULL",NA
"ppa:PAS_chr1-4_0547","ppa04122","Sulfur relay system - Komagataella phaffii"
"ppa:PAS_FragB_0041","NULL",NA
"ppa:PAS_chr1-4_0594","ppa03018","RNA degradation - Komagataella phaffii"
"ppa:PAS_FragB_0071","ppa00563","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis - Komagataella phaffii"
"ppa:PAS_FragB_0071","ppa01100","Metabolic pathways - Komagataella phaffii"
"ppa:PAS_FragB_0054","ppa03083","Polycomb repressive complex - Komagataella phaffii"
"ppa:PAS_FragB_0053","ppa00260","Glycine, serine and threonine metabolism - Komagataella phaffii"
"ppa:PAS_FragB_0053","ppa00630","Glyoxylate and dicarboxylate metabolism - Komagataella phaffii"
"ppa:PAS_FragB_0053","ppa00670","One carbon pool by folate - Komagataella phaffii"
"ppa:PAS_FragB_0053","ppa00785","Lipoic acid metabolism - Komagataella phaffii"
"ppa:PAS_FragB_0053","ppa01100","Metabolic pathways - Komagataella phaffii"
"ppa:PAS_FragB_0053","ppa01110","Biosynthesis of secondary metabolites - Komagataella phaffii"
"ppa:PAS_FragB_0053","ppa01200","Carbon metabolism - Komagataella phaffii"
"ppa:PAS_FragB_0064","ppa00051","Fructose and mannose metabolism - Komagataella phaffii"
"ppa:PAS_FragB_0064","ppa01100","Metabolic pathways - Komagataella phaffii"
"ppa:PAS_chr1-4_0522","ppa04136","Autophagy - other - Komagataella phaffii"
"ppa:PAS_chr1-4_0522","ppa04138","Autophagy - yeast - Komagataella phaffii"
"A0A1G4KPL4","NULL",NA
"ppa:PAS_chr2-2_0452","ppa00650","Butanoate metabolism - Komagataella phaffii"
"ppa:PAS_chr2-2_0452","ppa01100","Metabolic pathways - Komagataella phaffii"
"ppa:PAS_chr1-4_0614","ppa03040","Spliceosome - Komagataella phaffii"
"ppa:PAS_chr1-4_0614","ppa04139","Mitophagy - yeast - Komagataella phaffii"
"ppa:PAS_chr2-2_0081","NULL",NA
"ppa:PAS_c121_0011","NULL",NA
"ppa:PAS_chr2-2_0082","NULL",NA
"ppa:PAS_chr2-2_0092","NULL",NA
"ppa:PAS_chr2-2_0144","ppa03040","Spliceosome - Komagataella phaffii"
"ppa:PAS_chr2-2_0063","ppa00564","Glycerophospholipid metabolism - Komagataella phaffii"
"ppa:PAS_chr2-2_0063","ppa00565","Ether lipid metabolism - Komagataella phaffii"
"ppa:PAS_chr2-2_0063","ppa01100","Metabolic pathways - Komagataella phaffii"
"ppa:PAS_chr2-2_0148","NULL",NA
"A0A1G4KPN8","NULL",NA
"ppa:PAS_chr2-2_0155","NULL",NA
"ppa:PAS_chr2-2_0175","ppa04144","Endocytosis - Komagataella phaffii"
"A0A1G4KPP3","NULL",NA
"ppa:PAS_chr2-2_0475","NULL",NA
"ppa:PAS_chr2-2_0458","NULL",NA
"ppa:PAS_chr2-2_0201","NULL",NA
"ppa:PAS_chr2-2_0221","NULL",NA
"ppa:PAS_chr2-2_0249","NULL",NA
"ppa:PAS_chr2-2_0472","NULL",NA
"ppa:PAS_chr2-2_0115","NULL",NA
"ppa:PAS_chr2-2_0291","NULL",NA
"ppa:PAS_chr2-2_0488","NULL",NA
"ppa:PAS_chr2-2_0095","ppa04011","MAPK signaling pathway - yeast - Komagataella phaffii"
"ppa:PAS_chr2-2_0265","ppa00190","Oxidative phosphorylation - Komagataella phaffii"
"ppa:PAS_chr2-2_0265","ppa01100","Metabolic pathways - Komagataella phaffii"
"ppa:PAS_chr2-2_0486","NULL",NA
"ppa:PAS_chr2-2_0262","NULL",NA
"ppa:PAS_chr2-2_0483","NULL",NA
"ppa:PAS_chr2-2_0185","ppa00513","Various types of N-glycan biosynthesis - Komagataella phaffii"
"ppa:PAS_chr2-2_0185","ppa01100","Metabolic pathways - Komagataella phaffii"
"ppa:PAS_chr2-2_0346","ppa00510","N-Glycan biosynthesis - Komagataella phaffii"
"ppa:PAS_chr2-2_0346","ppa00513","Various types of N-glycan biosynthesis - Komagataella phaffii"
"ppa:PAS_chr2-2_0346","ppa01100","Metabolic pathways - Komagataella phaffii"
"ppa:PAS_chr2-2_0346","ppa04141","Protein processing in endoplasmic reticulum - Komagataella phaffii"
"ppa:PAS_chr2-2_0358","NULL",NA
"ppa:PAS_chr2-2_0173","NULL",NA
"ppa:PAS_chr2-2_0491","ppa04011","MAPK signaling pathway - yeast - Komagataella phaffii"
"ppa:PAS_chr2-2_0491","ppa04111","Cell cycle - yeast - Komagataella phaffii"
"ppa:PAS_chr2-2_0397","NULL",NA
"ppa:PAS_chr2-2_0368","NULL",NA
"ppa:PAS_chr2-2_0402","NULL",NA
"ppa:PAS_chr2-2_0425","ppa04120","Ubiquitin mediated proteolysis - Komagataella phaffii"
"ppa:PAS_chr2-2_0495","ppa04110",NA
"ppa:PAS_chr2-2_0495","ppa04111","Cell cycle - yeast - Komagataella phaffii"
"ppa:PAS_chr2-2_0495","ppa04120","Ubiquitin mediated proteolysis - Komagataella phaffii"
"ppa:PAS_chr2-2_0495","ppa04914",NA
"ppa:PAS_chr2-2_0233","NULL",NA
"ppa:PAS_chr2-1_0788","NULL",NA
"ppa:PAS_chr2-2_0383","ppa03082","ATP-dependent chromatin remodeling - Komagataella phaffii"
"ppa:PAS_chr2-2_0440","NULL",NA
"ppa:PAS_chr2-2_0319","NULL",NA
"ppa:PAS_chr2-1_0888","NULL",NA
"A0A1G4KPT7","NULL",NA
"ppa:PAS_chr2-1_0743","NULL",NA
"ppa:PAS_chr2-1_0703","NULL",NA
"ppa:PAS_chr2-1_0669","ppa04138","Autophagy - yeast - Komagataella phaffii"
"ppa:PAS_chr2-1_0669","ppa04144","Endocytosis - Komagataella phaffii"
"ppa:PAS_chr2-1_0669","ppa04145","Phagosome - Komagataella phaffii"
"ppa:PAS_chr2-1_0669","ppa04148","Efferocytosis - Komagataella phaffii"
"ppa:PAS_chr2-1_0734","NULL",NA
"ppa:PAS_chr2-1_0670","NULL",NA
"ppa:PAS_chr2-1_0875","NULL",NA
"ppa:PAS_chr2-1_0793","NULL",NA
"ppa:PAS_chr2-1_0636","ppa03060","Protein export - Komagataella phaffii"
"ppa:PAS_chr2-1_0612","ppa00190","Oxidative phosphorylation - Komagataella phaffii"
"ppa:PAS_chr2-1_0612","ppa01100","Metabolic pathways - Komagataella phaffii"
"ppa:PAS_chr2-1_0569","NULL",NA
"ppa:PAS_chr2-1_0727","ppa00510","N-Glycan biosynthesis - Komagataella phaffii"
"ppa:PAS_chr2-1_0727","ppa01100","Metabolic pathways - Komagataella phaffii"
"ppa:PAS_chr2-1_0861","ppa03008","Ribosome biogenesis in eukaryotes - Komagataella phaffii"
"ppa:PAS_chr2-1_0552","NULL",NA
"ppa:PAS_chr2-1_0856","ppa00061","Fatty acid biosynthesis - Komagataella phaffii"
"ppa:PAS_chr2-1_0856","ppa00780","Biotin metabolism - Komagataella phaffii"
"ppa:PAS_chr2-1_0856","ppa01100","Metabolic pathways - Komagataella phaffii"
"ppa:PAS_chr2-1_0856","ppa01110","Biosynthesis of secondary metabolites - Komagataella phaffii"
"ppa:PAS_chr2-1_0856","ppa01212","Fatty acid metabolism - Komagataella phaffii"
"ppa:PAS_chr2-1_0856","ppa01240","Biosynthesis of cofactors - Komagataella phaffii"
"ppa:PAS_chr2-1_0751","ppa00190","Oxidative phosphorylation - Komagataella phaffii"
"ppa:PAS_chr2-1_0751","ppa01100","Metabolic pathways - Komagataella phaffii"
"ppa:PAS_chr2-1_0863","ppa03008","Ribosome biogenesis in eukaryotes - Komagataella phaffii"
"ppa:PAS_chr2-1_0517","NULL",NA
"ppa:PAS_chr2-1_0475","NULL",NA
"ppa:PAS_chr2-1_0483","ppa03010","Ribosome - Komagataella phaffii"
"ppa:PAS_chr2-1_0502","ppa04146","Peroxisome - Komagataella phaffii"
"ppa:PAS_chr2-1_0482","ppa03010","Ribosome - Komagataella phaffii"
"ppa:PAS_chr2-1_0833","NULL",NA
"ppa:PAS_chr2-1_0564","NULL",NA
"ppa:PAS_chr2-1_0422","ppa00270","Cysteine and methionine metabolism - Komagataella phaffii"
"ppa:PAS_chr2-1_0422","ppa01100","Metabolic pathways - Komagataella phaffii"
"ppa:PAS_chr2-1_0581","NULL",NA
"ppa:PAS_chr2-1_0461","NULL",NA
"ppa:PAS_chr2-1_0398","NULL",NA
"ppa:PAS_chr2-1_0429","ppa03082","ATP-dependent chromatin remodeling - Komagataella phaffii"
"ppa:PAS_chr2-1_0429","ppa04217",NA
"ppa:PAS_chr2-1_0892","ppa04141","Protein processing in endoplasmic reticulum - Komagataella phaffii"
"ppa:PAS_chr2-1_0294","NULL",NA
"ppa:PAS_chr2-1_0501","NULL",NA
"ppa:PAS_chr2-1_0395","ppa03030","DNA replication - Komagataella phaffii"
"ppa:PAS_chr2-1_0395","ppa03410","Base excision repair - Komagataella phaffii"
"ppa:PAS_chr2-1_0395","ppa03420","Nucleotide excision repair - Komagataella phaffii"
"ppa:PAS_chr2-1_0395","ppa03430","Mismatch repair - Komagataella phaffii"
"ppa:PAS_chr2-1_0395","ppa03440","Homologous recombination - Komagataella phaffii"
"ppa:PAS_chr2-1_0822","NULL",NA
"ppa:PAS_chr2-1_0236","NULL",NA
"ppa:PAS_chr2-1_0344","NULL",NA
"ppa:PAS_chr2-1_0474","NULL",NA
"ppa:PAS_chr2-1_0821","NULL",NA
"ppa:PAS_chr2-1_0232","ppa03015","mRNA surveillance pathway - Komagataella phaffii"
"ppa:PAS_chr2-1_0266","ppa03018","RNA degradation - Komagataella phaffii"
"A0A1G4KQ11","NULL",NA
"ppa:PAS_chr2-1_0831","ppa03015","mRNA surveillance pathway - Komagataella phaffii"
"ppa:PAS_chr2-1_0831","ppa04111","Cell cycle - yeast - Komagataella phaffii"
"ppa:PAS_chr2-1_0831","ppa04261",NA
"ppa:PAS_chr2-1_0831","ppa04530",NA
"ppa:PAS_chr2-1_0143","NULL",NA
"ppa:PAS_chr2-1_0258","NULL",NA
"ppa:PAS_chr2-1_0189","NULL",NA
"ppa:PAS_chr2-1_0204","NULL",NA
"ppa:PAS_chr2-1_0191","ppa00280","Valine, leucine and isoleucine degradation - Komagataella phaffii"
"ppa:PAS_chr2-1_0191","ppa00650","Butanoate metabolism - Komagataella phaffii"
"ppa:PAS_chr2-1_0191","ppa00900","Terpenoid backbone biosynthesis - Komagataella phaffii"
"ppa:PAS_chr2-1_0191","ppa01100","Metabolic pathways - Komagataella phaffii"
"ppa:PAS_chr2-1_0191","ppa01110","Biosynthesis of secondary metabolites - Komagataella phaffii"
"ppa:PAS_chr2-1_0191","ppa03320",NA
"ppa:PAS_chr2-1_0271","ppa03082","ATP-dependent chromatin remodeling - Komagataella phaffii"
"ppa:PAS_chr2-1_0271","ppa03083","Polycomb repressive complex - Komagataella phaffii"
"ppa:PAS_chr2-1_0271","ppa04218",NA
"ppa:PAS_chr2-1_0127","NULL",NA
"ppa:PAS_chr2-1_0116","ppa04144","Endocytosis - Komagataella phaffii"
"ppa:PAS_chr2-1_0812","NULL",NA
"ppa:PAS_chr2-1_0811","NULL",NA
"ppa:PAS_chr2-1_0124","ppa04011","MAPK signaling pathway - yeast - Komagataella phaffii"
"ppa:PAS_chr2-1_0124","ppa04070","Phosphatidylinositol signaling system - Komagataella phaffii"
"ppa:PAS_chr2-1_0124","ppa04139","Mitophagy - yeast - Komagataella phaffii"
"ppa:PAS_chr2-1_0124","ppa04261",NA
"ppa:PAS_chr2-1_0124","ppa04270",NA
"ppa:PAS_chr2-1_0124","ppa04370",NA
"ppa:PAS_chr2-1_0124","ppa04510",NA
"ppa:PAS_chr2-1_0124","ppa04540",NA
"ppa:PAS_chr2-1_0124","ppa04912",NA
"ppa:PAS_chr2-1_0124","ppa04916",NA
"ppa:PAS_chr2-1_0199","ppa00520","Amino sugar and nucleotide sugar metabolism - Komagataella phaffii"
"ppa:PAS_chr2-1_0051","ppa00053","Ascorbate and aldarate metabolism - Komagataella phaffii"
"ppa:PAS_chr2-1_0051","ppa00562","Inositol phosphate metabolism - Komagataella phaffii"
"ppa:PAS_chr2-1_0051","ppa01100","Metabolic pathways - Komagataella phaffii"
"ppa:PAS_chr2-1_0051","ppa01250","Biosynthesis of nucleotide sugars - Komagataella phaffii"
"ppa:PAS_chr2-1_0027","NULL",NA
"ppa:PAS_chr2-1_0038","ppa04141","Protein processing in endoplasmic reticulum - Komagataella phaffii"
"ppa:PAS_chr2-1_0034","NULL",NA
"ppa:PAS_c131_0016","NULL",NA
"ppa:PAS_c131_0007","ppa04144","Endocytosis - Komagataella phaffii"
"ppa:PAS_chr3_1122","NULL",NA
"ppa:PAS_chr2-1_0074","NULL",NA
"ppa:PAS_chr3_1135","ppa03010","Ribosome - Komagataella phaffii"
"ppa:PAS_chr3_1112","ppa03030","DNA replication - Komagataella phaffii"
"ppa:PAS_chr3_1112","ppa03410","Base excision repair - Komagataella phaffii"
"ppa:PAS_chr3_1112","ppa03420","Nucleotide excision repair - Komagataella phaffii"
"ppa:PAS_chr3_1112","ppa03430","Mismatch repair - Komagataella phaffii"
"ppa:PAS_chr3_1103","NULL",NA
"ppa:PAS_chr3_1104","ppa04141","Protein processing in endoplasmic reticulum - Komagataella phaffii"
"ppa:PAS_chr3_1104","ppa04210",NA
"ppa:PAS_chr3_1111","ppa00020","Citrate cycle (TCA cycle) - Komagataella phaffii"
"ppa:PAS_chr3_1111","ppa00190","Oxidative phosphorylation - Komagataella phaffii"
"ppa:PAS_chr3_1111","ppa01100","Metabolic pathways - Komagataella phaffii"
"ppa:PAS_chr3_1111","ppa01110","Biosynthesis of secondary metabolites - Komagataella phaffii"
"ppa:PAS_chr3_1111","ppa01200","Carbon metabolism - Komagataella phaffii"
"ppa:PAS_chr3_1097","NULL",NA
"ppa:PAS_chr3_1098","NULL",NA
"ppa:PAS_chr3_1061","ppa04111","Cell cycle - yeast - Komagataella phaffii"
"ppa:PAS_chr3_1061","ppa04113","Meiosis - yeast - Komagataella phaffii"
"ppa:PAS_chr3_1062","ppa04148","Efferocytosis - Komagataella phaffii"
"A0A1G4KQ70","NULL",NA
"A0A1G4KQ73","NULL",NA
"ppa:PAS_chr3_1121","ppa04138","Autophagy - yeast - Komagataella phaffii"
"ppa:PAS_chr3_1121","ppa04144","Endocytosis - Komagataella phaffii"
"ppa:PAS_chr3_1121","ppa04530",NA
"ppa:PAS_chr3_1121","ppa04810",NA
"ppa:PAS_chr3_1033","ppa00260","Glycine, serine and threonine metabolism - Komagataella phaffii"
"ppa:PAS_chr3_1033","ppa00330","Arginine and proline metabolism - Komagataella phaffii"
"ppa:PAS_chr3_1033","ppa00470","D-Amino acid metabolism - Komagataella phaffii"
"ppa:PAS_chr3_1033","ppa01100","Metabolic pathways - Komagataella phaffii"
"ppa:PAS_chr3_1033","ppa01110","Biosynthesis of secondary metabolites - Komagataella phaffii"
"ppa:PAS_chr3_1033","ppa04146","Peroxisome - Komagataella phaffii"
"ppa:PAS_chr3_1255","ppa00230","Purine metabolism - Komagataella phaffii"
"ppa:PAS_chr3_1255","ppa01100","Metabolic pathways - Komagataella phaffii"
"ppa:PAS_chr3_1255","ppa01232","Nucleotide metabolism - Komagataella phaffii"
"ppa:PAS_chr3_1024","NULL",NA
"ppa:PAS_chr3_1244","NULL",NA
"ppa:PAS_chr3_0975","ppa04146","Peroxisome - Komagataella phaffii"
"ppa:PAS_chr3_0967","NULL",NA
"A0A1G4KQ83","NULL",NA
"ppa:PAS_chr3_1005","NULL",NA
"ppa:PAS_chr3_1038","NULL",NA
"ppa:PAS_chr3_0933","NULL",NA
"ppa:PAS_chr3_0931","ppa04136","Autophagy - other - Komagataella phaffii"
"ppa:PAS_chr3_0931","ppa04138","Autophagy - yeast - Komagataella phaffii"
"ppa:PAS_chr3_0907","NULL",NA
"ppa:PAS_chr3_0908","NULL",NA
"ppa:PAS_chr3_0924","ppa04120","Ubiquitin mediated proteolysis - Komagataella phaffii"
"ppa:PAS_chr3_0924","ppa04141","Protein processing in endoplasmic reticulum - Komagataella phaffii"
"ppa:PAS_chr3_0911","NULL",NA
"ppa:PAS_chr3_1026","NULL",NA
"ppa:PAS_chr3_0875","NULL",NA
"ppa:PAS_chr3_0874","NULL",NA
"ppa:PAS_chr3_0817","NULL",NA
"ppa:PAS_chr3_0811","NULL",NA
"ppa:PAS_chr3_0810","ppa03410","Base excision repair - Komagataella phaffii"
"ppa:PAS_chr3_0880","NULL",NA
"ppa:PAS_chr3_0783","ppa00620","Pyruvate metabolism - Komagataella phaffii"
"ppa:PAS_chr3_0783","ppa01100","Metabolic pathways - Komagataella phaffii"
"ppa:PAS_chr3_0791","NULL",NA
"ppa:PAS_chr3_0780","NULL",NA
"ppa:PAS_chr2-1_0056","NULL",NA
"A0A1G4KQB5","NULL",NA
"ppa:PAS_chr3_0707","ppa03020","RNA polymerase - Komagataella phaffii"
"ppa:PAS_chr3_0745","ppa00190","Oxidative phosphorylation - Komagataella phaffii"
"ppa:PAS_chr3_0745","ppa01100","Metabolic pathways - Komagataella phaffii"
"ppa:PAS_chr3_1215","NULL",NA
"ppa:PAS_chr3_0789","NULL",NA
"ppa:PAS_chr3_0694","NULL",NA
"ppa:PAS_chr3_0696","NULL",NA
"ppa:PAS_chr3_0809","NULL",NA
"ppa:PAS_chr3_1217","NULL",NA
"ppa:PAS_chr3_1203","NULL",NA
"ppa:PAS_chr3_0570","ppa00564","Glycerophospholipid metabolism - Komagataella phaffii"
"ppa:PAS_chr3_0570","ppa01100","Metabolic pathways - Komagataella phaffii"
"ppa:PAS_chr3_0628","NULL",NA
"ppa:PAS_chr3_0616","NULL",NA
"ppa:PAS_chr3_0624","ppa04011","MAPK signaling pathway - yeast - Komagataella phaffii"
"ppa:PAS_chr3_0624","ppa04111","Cell cycle - yeast - Komagataella phaffii"
"ppa:PAS_chr3_0624","ppa04113","Meiosis - yeast - Komagataella phaffii"
"ppa:PAS_chr3_0585","ppa00190","Oxidative phosphorylation - Komagataella phaffii"
"ppa:PAS_chr3_0585","ppa01100","Metabolic pathways - Komagataella phaffii"
"A0A1G4KQE1","NULL",NA
"ppa:PAS_chr3_0639","ppa04144","Endocytosis - Komagataella phaffii"
"ppa:PAS_chr3_1199","NULL",NA
"ppa:PAS_chr3_0543","NULL",NA
"ppa:PAS_chr3_0495","NULL",NA
"ppa:PAS_chr3_0582","ppa03040","Spliceosome - Komagataella phaffii"
